step,energy_eV,relative_to_start_eV
0,-175.91751778579473,0.0
1,-175.91978446980735,-0.0022666840126248644
2,-175.9241759182425,-0.006658132447768139
3,-175.9304255901804,-0.012907804385662303
4,-175.93817591321422,-0.020658127419494576
5,-175.9470239687437,-0.02950618294897822
6,-175.95657064937058,-0.03905286357584714
7,-175.96646077360367,-0.04894298780894246
8,-175.97744278948974,-0.059925003695013856
9,-175.9892485659089,-0.07173078011416578
10,-176.00148258840233,-0.08396480260759631
11,-176.0137360685355,-0.0962182827407787
12,-176.02610573581205,-0.10858795001732346
13,-176.0401290744343,-0.12261128863957538
14,-176.05944710084614,-0.1419293150514136
15,-176.08980282893108,-0.1722850431363554
16,-176.13912269552452,-0.2216049097297912
17,-176.21926032660372,-0.30174254080898777
18,-176.35142868553447,-0.43391089973974317
19,-176.538925775228,-0.6214079894332656
20,-176.7638160764167,-0.8462982906219736
21,-177.02205658798889,-1.1045388021941562
22,-177.3064969661154,-1.3889791803206606
23,-177.60940762717436,-1.6918898413796342
24,-177.92447186465267,-2.0069540788579445
25,-178.24750634376974,-2.329988557975014
26,-178.57618302339753,-2.658665237602804
27,-178.90923836013022,-2.9917205743354884
28,-179.24554309755868,-3.3280253117639518
29,-179.58327327604067,-3.6657554902459424
30,-179.91953430274515,-4.00201651695042
31,-180.25071293472172,-4.33319514892699
32,-180.5728796407097,-4.655361854914958
33,-180.88127933860346,-4.963761552808734
34,-181.16953891481407,-5.25202112901934
35,-181.43015536947212,-5.512637583677389
36,-181.65675963660675,-5.7392418508120215
37,-181.84781365249216,-5.930295866697435
38,-182.01020811317434,-6.092690327379614
39,-182.15774393197972,-6.240226146184995
40,-182.30143811927886,-6.383920333484127
41,-182.43847533852932,-6.520957552734586
42,-182.5513545924046,-6.633836806609878
43,-182.6190564352439,-6.701538649449162
44,-182.63023063779886,-6.712712852004131
45,-182.73006005748522,-6.812542271690489
46,-182.75822812024472,-6.840710334449994
47,-182.81083363359792,-6.893315847803194
48,-182.87453204853458,-6.957014262739847
49,-182.9741974932341,-7.056679707439372
50,-183.10214506468577,-7.184627278891043
51,-183.25699818214855,-7.339480396353821
52,-183.43720556974185,-7.51968778394712
53,-183.63437476611938,-7.71685698032465
54,-183.83526945609782,-7.91775167030309
55,-184.0246990025137,-8.10718121671897
56,-184.18766185489244,-8.27014406909771
57,-184.3102235801306,-8.392705794335882
58,-184.38017603870796,-8.46265825291323
59,-184.39107710820562,-8.473559322410892
60,-184.44780494967242,-8.530287163877688
61,-184.46524112670184,-8.547723340907112
62,-184.4735276943807,-8.556009908585963
63,-184.48616480737215,-8.56864702157742
64,-184.497798748369,-8.580280962574278
65,-184.50586202954642,-8.588344243751692
66,-184.5131497732078,-8.595631987413071
67,-184.52400564214557,-8.606487856350839
68,-184.53880891605272,-8.621291130257987
69,-184.55539133129793,-8.637873545503197
70,-184.569860959783,-8.652343173988271
71,-184.58576896684016,-8.668251181045434
72,-184.6100724489367,-8.692554663141976
73,-184.6383721480054,-8.720854362210673
74,-184.6647954065478,-8.747277620753067
75,-184.69304358191556,-8.775525796120832
76,-184.723889728795,-8.806371943000272
77,-184.75448804359684,-8.836970257802108
78,-184.78520053957692,-8.86768275378219
79,-184.81703657097773,-8.899518785183005
80,-184.84853726404023,-8.931019478245503
81,-184.87794667594483,-8.960428890150098
82,-184.90451485441366,-8.986997068618933
83,-184.92780661670878,-9.01028883091405
84,-184.94722864064246,-9.029710854847735
85,-184.96335954923023,-9.045841763435504
86,-184.9761136724021,-9.058595886607378
87,-184.9854656801487,-9.067947894353978
88,-184.97753153823803,-9.060013752443297
89,-184.72112247454606,-8.803604688751335
90,-184.9781510182343,-9.060633232439585
91,-184.9983098293461,-9.080792043551384
92,-184.98097412810552,-9.063456342310786
93,-184.99000675478723,-9.072488968992502
94,-184.99822323221213,-9.080705446417397
95,-184.99785550055554,-9.080337714760816
96,-184.99803723355876,-9.080519447764033
97,-184.9983608548293,-9.080843069034557
98,-184.99875531109743,-9.081237525302697
99,-184.9991342902878,-9.08161650449307
100,-184.99941714227495,-9.081899356480221
101,-184.99955357694162,-9.082035791146893
102,-184.99955757147558,-9.082039785680848
103,-184.9995627045502,-9.082044918755457
104,-184.999572795476,-9.082055009681284
105,-184.99958750575243,-9.082069719957701
106,-184.99960635746055,-9.082088571665821
107,-184.9996287682921,-9.082110982497369
108,-184.99965409618997,-9.082136310395242
109,-184.9996816912608,-9.082163905466075
110,-184.99971412347543,-9.0821963376807
111,-184.9997514903745,-9.082233704579778
112,-184.9997938938777,-9.082276108082965
113,-184.9998417425539,-9.082323956759183
114,-184.9998962668507,-9.082378481055969
115,-184.99996013894003,-9.082442353145296
116,-185.00003788442226,-9.082520098627526
117,-185.00013565853735,-9.082617872742617
118,-185.00026006839158,-9.082742282596854
119,-185.0004161616036,-9.082898375808867
120,-185.00060571057358,-9.083087924778852
121,-185.0008284121573,-9.083310626362561
122,-185.001088263157,-9.083570477362258
123,-185.00140005328262,-9.083882267487894
124,-185.0017828754164,-9.084265089621681
125,-185.00224275405483,-9.084724968260105
126,-185.00277765312825,-9.08525986733352
127,-185.00341149141204,-9.085893705617309
128,-185.004172287497,-9.08665450170227
129,-185.00505455032916,-9.087536764534434
130,-185.00609501037897,-9.088577224584242
131,-185.00730263347396,-9.089784847679226
132,-185.00871043803045,-9.09119265223572
133,-185.0103279835773,-9.092810197782569
134,-185.01217964536713,-9.094661859572398
135,-185.01428108932495,-9.096763303530224
136,-185.0165899675249,-9.099072181730179
137,-185.01895559348876,-9.101437807694026
138,-185.01966729824048,-9.102149512445749
139,-185.02161649130971,-9.104098705514986
140,-185.02011109484855,-9.102593309053816
141,-185.02086668173328,-9.103348895938552
142,-185.02163805653248,-9.104120270737752
143,-185.02171236905244,-9.104194583257708
144,-185.0217258448547,-9.104208059059971
145,-185.02175011437745,-9.104232328582725
146,-185.02178047961175,-9.10426269381702
147,-185.02181143851573,-9.104293652720997
148,-185.0218382380387,-9.104320452243968
149,-185.0218585423418,-9.10434075654706
150,-185.02187364369175,-9.10435585789702
151,-185.02188931538245,-9.104371529587723
152,-185.02191201514944,-9.10439422935471
153,-185.02194858260145,-9.104430796806724
154,-185.02200237784461,-9.104484592049886
155,-185.022069762535,-9.104551976740282
156,-185.02214163419296,-9.104623848398234
157,-185.02221600138935,-9.104698215594624
158,-185.02230885016667,-9.104791064371938
159,-185.02243616624662,-9.104918380451892
160,-185.02258739133498,-9.105069605540251
161,-185.02275120196538,-9.105233416170648
162,-185.02295900952046,-9.105441223725734
163,-185.0232070253054,-9.105689239510667
164,-185.02348430498594,-9.105966519191213
165,-185.0238265821643,-9.106308796369575
166,-185.02420524654514,-9.106687460750408
167,-185.02464282805227,-9.107125042257536
168,-185.02513730495016,-9.107619519155435
