image,height_A,energy_eV,interaction_energy_eV
0,6.5,-208.21619064940802,-1.7763568394002505e-14
1,5.0,-208.21619064940802,-1.7763568394002505e-14
2,4.0,-208.2891283166449,-0.07293766723690354
3,3.25,-208.33577212634754,-0.11958147693953336
4,2.75,-208.323283530378,-0.10709288097000425
5,2.25,-207.9606808288948,0.2555098205132076
6,1.9,-207.4323471015658,0.7838435478422063
7,1.6,-207.07172203363177,1.1444686157762298
8,1.3,-204.70003945591864,3.5161511934893603
