image,height_A,energy_eV,interaction_energy_eV
0,6.5,-191.16664353056154,-1.0658141036401503e-14
1,5.0,-191.16664353056154,-1.0658141036401503e-14
2,4.0,-191.32434213751162,-0.1576986069500883
3,3.25,-191.87902393199897,-0.7123804014374393
4,2.75,-191.823030350545,-0.6563868199834637
5,2.25,-191.70582795273737,-0.5391844221758326
6,1.9,-191.38220623423967,-0.2155627036781418
7,1.6,-190.5150842395986,0.6515592909629397
8,1.3,-189.4661300283459,1.7005135022156317
