image,height_A,energy_eV,interaction_energy_eV
0,6.5,-187.83852526514107,-1.5987211554602254e-14
1,5.0,-187.83852526514107,-1.5987211554602254e-14
2,4.0,-187.99430303731887,-0.15577777217781552
3,3.25,-188.06936441970245,-0.23083915456139614
4,2.75,-188.05434572855052,-0.21582046340945915
5,2.25,-187.94910244308642,-0.11057717794536082
6,1.9,-187.6300609715922,0.20846429354885565
7,1.6,-186.66371697392472,1.1748082912163351
8,1.3,-182.14020744402538,5.698317821115678
