material,n_si_ratio,hydrogen_atomic_fraction,energy_ev,epc_nm,data_origin
Si_reference,0.0,0.0,54.0,0.11779579196346757,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,55.0,0.11899005083540931,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,56.0,0.12017119194093157,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,57.0,0.1213399377486375,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,58.0,0.12249693866059352,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,59.0,0.12364278175280652,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,60.0,0.12477799833985437,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,61.0,0.1259030705357258,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,62.0,0.12701843695568382,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,63.0,0.12812449768138334,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,64.0,0.12922161859268266,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,65.0,0.13031013515391332,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,66.0,0.1313903557292524,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,67.0,0.1324625644908327,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,68.0,0.13352702397396077,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,69.0,0.1345839773259957,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,70.0,0.13563365028883578,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,71.0,0.13667625294935282,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,72.0,0.1377119812873544,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,73.0,0.13874101854660115,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,74.0,0.1397635364509482,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,75.0,0.14077969628471942,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,76.0,0.14178964985389186,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,77.0,0.14279354034249447,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,78.0,0.1437915030767506,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,79.0,0.14478366620789052,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,80.0,0.14577015132316307,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,81.0,0.14675107399338094,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,82.0,0.14772654426429033,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,83.0,0.14869666709815765,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,84.0,0.1496615427711807,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,85.0,0.15062126723165525,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,86.0,0.15157593242322998,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,87.0,0.15252562657707303,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,88.0,0.15347043447631725,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,89.0,0.15441043769575913,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,90.0,0.1553457148194416,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,91.0,0.1562763416384474,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,92.0,0.15720239133096647,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,93.0,0.15812393462646446,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,94.0,0.1590410399555774,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,95.0,0.15995377358717677,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,96.0,0.16086219975388716,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,97.0,0.16176638076720273,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,98.0,0.16266637712322152,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,99.0,0.163562247599908,hypothetical_sensitivity_scenarios_not_material_calibration
Si_reference,0.0,0.0,100.0,0.16445404934669672,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,0.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,1.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,2.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,3.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,4.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,5.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,6.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,7.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,8.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,9.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,10.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,11.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,12.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,13.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,14.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,15.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,16.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,17.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,18.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,19.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,20.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,21.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,22.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,23.0,0.010542439810750828,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,24.0,0.019506354474218737,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,25.0,0.02720025262555298,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,26.0,0.033858947916515864,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,27.0,0.039663969797683246,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,28.0,0.04475765728225409,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,29.0,0.04925306641504207,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,30.0,0.053241052263771294,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,31.0,0.05679541077345818,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,32.0,0.05997666665227824,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,33.0,0.06283490185839513,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,34.0,0.06541189447601042,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,35.0,0.06774275519944917,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,36.0,0.06985719317475192,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,37.0,0.07178050514601136,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,38.0,0.07353435573834494,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,39.0,0.07513739843320155,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,40.0,0.07660577384381584,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,41.0,0.07795351261836159,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,42.0,0.07919286357313154,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,43.0,0.08033456273324696,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,44.0,0.08138805531612753,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,45.0,0.08236167997382288,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,46.0,0.08421674358126618,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,47.0,0.08600315050256435,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,48.0,0.0877270082499314,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,49.0,0.0893937259087706,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,50.0,0.0910081092317398,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,51.0,0.09257444072703236,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,52.0,0.09409654742979945,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,53.0,0.09557785850807127,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,54.0,0.09702145443509397,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,55.0,0.09843010913049732,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,56.0,0.09980632621219826,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,57.0,0.10115237029371871,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,58.0,0.10247029409579561,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,59.0,0.10376196200777743,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,60.0,0.10502907062642308,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,61.0,0.10627316671204717,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,62.0,0.10749566293034474,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,63.0,0.10869785168949281,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,64.0,0.10988091733371785,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,65.0,0.11104594691447522,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,66.0,0.11219393972711628,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,67.0,0.11332581577318179,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,68.0,0.11444242328524057,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,69.0,0.11554454543169601,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,70.0,0.11663290630255191,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,71.0,0.11770817626323754,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,72.0,0.11877097675180931,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,73.0,0.119821884584832,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,74.0,0.12086143582868641,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,75.0,0.12189012928574505,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,76.0,0.12290842963858362,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,77.0,0.12391677029000037,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,78.0,0.12491555593197157,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,79.0,0.12590516487264825,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,80.0,0.12688595114702295,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,81.0,0.12785824643387422,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,82.0,0.12882236179896656,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,83.0,0.12977858928219532,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,84.0,0.13072720334436105,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,85.0,0.1316684621875106,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,86.0,0.13260260896124199,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,87.0,0.1335298728660217,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,88.0,0.1344504701633772,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,89.0,0.13536460510177672,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,90.0,0.13627247076608673,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,91.0,0.1371742498576768,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,92.0,0.13807011541151948,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,93.0,0.1389602314559868,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,94.0,0.13984475362047555,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,95.0,0.14072382969548525,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,96.0,0.14159760014931688,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,97.0,0.14246619860515997,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,98.0,0.14332975228196954,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,99.0,0.14418838240221588,hypothetical_sensitivity_scenarios_not_material_calibration
SiN0.8_hypothesis,0.8,0.0,100.0,0.14504220456929795,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,0.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,1.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,2.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,3.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
