image,height_A,energy_eV,interaction_energy_eV
0,6.5,-268.85194865121787,1.4210854715202004e-14
1,5.0,-268.85194865121787,1.4210854715202004e-14
2,4.0,-268.75879204523795,0.09315660597992803
3,3.25,-268.6410326736357,0.21091597758216096
4,2.75,-268.60257104895953,0.24937760225834893
5,2.25,-268.62421497057693,0.22773368064095223
6,1.9,-268.4046685978478,0.44728005337010757
7,1.6,-267.8077276636287,1.0442209875891564
8,1.3,-266.6629495972776,2.188999053940293
