image,energy_eV,relative_to_IS_eV
0,-20293.54988747835,0.0
1,-20292.889158129692,0.6607293486595154
2,-20293.21785956621,0.3320279121398926
3,-20293.211837887764,0.33804959058761597
4,-20287.392328873277,6.1575586050748825
5,-20292.266815125942,1.2830723524093628
6,-20293.98163999617,-0.4317525178194046
7,-20294.043865807354,-0.4939783290028572
8,-20294.13543510437,-0.5855476260185242
