recipe_id,energy_ev,dose_s,ion_s,temperature_k,epc_nm,data_origin
0,61.906546322234554,3.951076810841178,2.013094304754034,465.5875437093767,0.12987012815397503,synthetic_uncalibrated_model
1,65.4069811829662,4.949961872100913,1.5436546083394183,379.9138344367283,0.14825555299349535,synthetic_uncalibrated_model
2,83.14919686065004,3.714829766349223,3.1186065165178296,396.8252225836068,0.1981721894323627,synthetic_uncalibrated_model
3,36.84088658808427,3.2490345963090097,4.17433687896165,479.8461932327166,0.08781681591749912,synthetic_uncalibrated_model
4,14.80416511062101,4.756817255417232,0.15066332423956147,382.6613852129378,0.0,synthetic_uncalibrated_model
5,20.050186167503114,2.2831807365205163,0.422698457435564,430.18152181477274,0.017434366488686195,synthetic_uncalibrated_model
6,77.65718686590546,1.9146610428768736,1.410118736835452,490.6519441336735,0.10117006099832665,synthetic_uncalibrated_model
7,84.06173959794293,4.401579592572234,4.535450659980504,409.92850289523057,0.23897686022546816,synthetic_uncalibrated_model
8,76.94025997181599,5.261966378841405,5.8783275441195,474.1011514406742,0.23051710592180952,synthetic_uncalibrated_model
9,51.68919840626135,0.7936018898767742,0.2754055749122558,404.627109599895,0.037604763386430956,synthetic_uncalibrated_model
10,48.40401418137106,1.2237761715437645,4.150920028295456,340.0320506198476,0.10159039672407139,synthetic_uncalibrated_model
11,6.435365702363625,4.11908005134052,4.459622528702081,364.3643964397303,0.0,synthetic_uncalibrated_model
12,33.249997041543494,1.0490418604362075,1.6654591166028803,302.55819831558955,0.06536413980901817,synthetic_uncalibrated_model
13,43.499294782205155,1.6042913525259053,1.1461766416665295,281.46197256181034,0.08435693615678785,synthetic_uncalibrated_model
14,32.154783241962704,0.5111436589218452,5.632489061941174,420.77021566987844,0.04044181744770964,synthetic_uncalibrated_model
15,44.47709612994331,4.112358528414003,5.219913356194278,310.3593018191818,0.1435425932974126,synthetic_uncalibrated_model
16,62.843273667675774,5.294832490609404,1.4215089545292,290.08133080527983,0.14457726518821612,synthetic_uncalibrated_model
17,41.04550304786663,4.798052579932502,1.9996176636792886,334.27981535604994,0.1262449572415688,synthetic_uncalibrated_model
18,67.8607081881768,1.3369921281819812,0.3462294955625085,390.6831287948621,0.06274763060580052,synthetic_uncalibrated_model
19,10.493174934226033,2.385008469864041,5.809060915600876,426.4276226547843,0.0,synthetic_uncalibrated_model
20,19.346565759050826,0.7101568158001718,1.0019768749341968,431.2947426654347,0.023497199864479207,synthetic_uncalibrated_model
21,81.34596422699795,2.511149589263043,0.6088716015213577,417.69003589095325,0.1069404166921597,synthetic_uncalibrated_model
22,15.51789352997611,3.2250107021061747,0.7897464254379865,377.66279529235425,0.004102379909743437,synthetic_uncalibrated_model
23,59.65138591713286,5.068933587589363,3.0740529977231517,477.9983734935337,0.13438229346889585,synthetic_uncalibrated_model
24,27.13482566604076,2.7617878089541104,0.9612069739202853,354.123140262158,0.06647137713672685,synthetic_uncalibrated_model
25,61.59247330109615,4.829363214821904,5.740339689264499,359.4401321281698,0.20651894990777908,synthetic_uncalibrated_model
26,67.09443510086984,2.8847583857138583,4.630944523226892,332.13869796298684,0.1926956873659813,synthetic_uncalibrated_model
27,35.482618839896716,5.12723990377451,4.939187236301265,402.8797558739612,0.1297316581710093,synthetic_uncalibrated_model
28,26.409666427477344,4.0761920421248155,5.724623300923012,463.7528185687255,0.09936675310906057,synthetic_uncalibrated_model
29,39.826788535147465,5.666224406386692,2.3738160769202463,298.4965800915638,0.12930345294105483,synthetic_uncalibrated_model
30,18.455896404453718,2.0277992932252995,1.2479008248303893,330.35852596960996,0.03362523861306449,synthetic_uncalibrated_model
31,23.613638377739683,5.292037464396108,0.7145883346795011,416.7939952828246,0.04454223477847666,synthetic_uncalibrated_model
32,45.982961608335835,1.0282306877500371,2.159568725948641,325.33605311864187,0.077735446711787,synthetic_uncalibrated_model
33,5.299221143341178,2.608728874060851,3.0621126949707667,372.70385330770836,0.0,synthetic_uncalibrated_model
34,6.411992789764277,1.6448863304985444,1.576753384316217,418.1937986816448,0.0,synthetic_uncalibrated_model
35,24.351473154755556,5.786109577327467,3.3338542050575315,422.24956538781186,0.11162662813791424,synthetic_uncalibrated_model
36,63.90496909201908,1.0992736434540424,1.9245468122352734,494.60094044713287,0.0807858045445281,synthetic_uncalibrated_model
37,7.916917120574725,0.8806817599435317,3.4650939642693492,472.3444444897938,0.0,synthetic_uncalibrated_model
38,56.44118135435428,0.5284499967658983,1.0202781745916263,297.4199480418778,0.05095050208442467,synthetic_uncalibrated_model
39,89.4753650215756,5.12038803868538,3.566067073187429,393.71848084760205,0.2262743529272242,synthetic_uncalibrated_model
40,52.24996143056488,3.2546619946566624,4.719126400745537,311.6337327240335,0.15831183033396856,synthetic_uncalibrated_model
41,74.2585052588139,0.8355252828430693,5.892212949344609,284.0923302431997,0.18241031324435886,synthetic_uncalibrated_model
42,79.82496171731204,1.6355658919846408,0.8284383751843197,465.70475767372295,0.09320372070016236,synthetic_uncalibrated_model
43,28.153867911938907,3.361224937240408,4.31301972995026,389.08450187102875,0.11952473399039487,synthetic_uncalibrated_model
44,71.89526776120599,0.19219848246388443,5.112851343781517,458.97834624895495,0.11698185989300297,synthetic_uncalibrated_model
45,37.29230533161019,2.9075509435609823,0.6322116053890918,367.3707264669427,0.0709639757377245,synthetic_uncalibrated_model
46,7.121430406071916,2.9093252437859647,1.1913074754393667,460.0876995441959,0.0,synthetic_uncalibrated_model
47,53.93836007886605,0.9667606159560682,2.087883984963831,332.03295568200656,0.0848227126554344,synthetic_uncalibrated_model
48,33.19935683001587,0.9616202234459138,0.4008290094072059,341.8116603936048,0.03576076337791015,synthetic_uncalibrated_model
49,70.16944640203143,3.437656270497817,1.1368264246758506,496.9218087871001,0.0932606824696206,synthetic_uncalibrated_model
50,53.33591811248767,5.802701714864805,3.73636367846714,414.53816956773403,0.15960923929292015,synthetic_uncalibrated_model
51,73.64717173231075,1.3182727122614764,1.1239556271765283,377.87864137983524,0.09997920228137769,synthetic_uncalibrated_model
52,86.63565533132486,2.313211097022324,4.859620080964284,437.34183455712196,0.23169667550033513,synthetic_uncalibrated_model
53,54.59302223379123,5.68770890266004,2.083881615706852,328.67612878885217,0.14812919970855232,synthetic_uncalibrated_model
54,18.880336936308012,1.3659594366597811,5.400885591052017,430.5841144524801,0.06561651154344189,synthetic_uncalibrated_model
55,5.574809414355132,3.070902674348737,0.786130151646654,499.8412507039672,0.0,synthetic_uncalibrated_model
56,88.49991505632691,0.8304061597331688,5.135706379150591,338.0854141676485,0.20308846008134784,synthetic_uncalibrated_model
57,67.26345510632498,5.387664845048309,1.8744072256780575,446.2128405394899,0.146839101070535,synthetic_uncalibrated_model
58,63.93624762877633,4.809346520736308,2.18583866283998,443.2917579586341,0.14869683866543948,synthetic_uncalibrated_model
59,70.67023255953804,4.156560033117532,3.27036004955433,375.1699190236112,0.1848307786133152,synthetic_uncalibrated_model
60,19.38464320501342,4.945898139447969,3.83469907705625,288.6189528051924,0.09304030136656605,synthetic_uncalibrated_model
61,24.556515784970824,1.605439536174981,0.7055521649833255,393.09307476922845,0.041751797530849316,synthetic_uncalibrated_model
62,21.656053309646094,3.7091033436744136,2.948230861071553,307.1848515773961,0.09562246048643042,synthetic_uncalibrated_model
63,81.79355926880457,2.451864684223288,4.573633713881424,471.6542668111198,0.20238815556162448,synthetic_uncalibrated_model
64,70.80824991579809,1.4279245262033353,3.6520037360214763,477.2483458481381,0.13827116519134042,synthetic_uncalibrated_model
65,50.630511541563386,3.352742793280349,5.68697974253512,342.2432490661002,0.16161652233048174,synthetic_uncalibrated_model
66,8.05217712642543,1.9708797272548493,5.0575488651157725,367.2183117805317,0.0,synthetic_uncalibrated_model
67,16.431929527487412,0.49464727214443727,3.486370402120589,409.43397921786965,0.02229081283239316,synthetic_uncalibrated_model
68,68.3131012050114,0.28496392858519176,1.1706991660868855,423.76303742663504,0.0441352787051312,synthetic_uncalibrated_model
69,48.489494813661885,3.2523738513675706,5.570931999716996,388.3429567973875,0.15171831307353423,synthetic_uncalibrated_model
70,56.775220854426,1.4753489158650832,2.747168751284298,493.9172692220012,0.0905466037451983,synthetic_uncalibrated_model
71,75.79380986928757,2.1721787235567263,5.013234716965925,365.32661252186006,0.21128299513740822,synthetic_uncalibrated_model
72,70.48229516585913,5.079418978460173,2.5936236803058224,359.8116622044379,0.17497887885390195,synthetic_uncalibrated_model
73,43.5171846780111,5.510111140738447,5.523443092721087,470.08823640340233,0.11661122602340118,synthetic_uncalibrated_model
74,60.49114660452884,3.613493175611911,2.863061787722034,485.4098275584182,0.1236188295725873,synthetic_uncalibrated_model
75,59.37470344479024,3.8218764995044836,3.2609709957490014,401.94991967005814,0.16176568885029252,synthetic_uncalibrated_model
76,19.197291593688863,2.9355394247419433,2.621637688469973,309.9363515821113,0.06881959654327868,synthetic_uncalibrated_model
77,69.38778091260069,2.083270353118987,1.6837843076375147,314.513741293679,0.13049215798221758,synthetic_uncalibrated_model
78,69.99029090699587,3.3879716016407038,3.3332368858754946,480.7001833437083,0.1512118399507718,synthetic_uncalibrated_model
79,30.973570691704886,5.1909311802397,3.5306758859375074,325.65704376370184,0.12882520455076274,synthetic_uncalibrated_model
80,19.21682383260236,5.567178376092048,3.9786041672095886,410.1665537954681,0.09048715628141474,synthetic_uncalibrated_model
81,13.283171962513244,1.4890746422584706,1.735169455130643,379.06806667462536,0.0,synthetic_uncalibrated_model
82,44.85136767615045,5.881469697723712,0.7212070630718675,498.5926442845489,0.057892191201396326,synthetic_uncalibrated_model
83,30.51048392554942,4.231352968138886,2.132256004213848,325.94356358815446,0.11383925984596399,synthetic_uncalibrated_model
84,86.36643478061535,3.764848212351856,1.2032474340842143,439.0415266696792,0.14289746151786842,synthetic_uncalibrated_model
85,62.91584968895186,0.18936587073953526,2.8299010701565184,434.4407690329632,0.057913317731576375,synthetic_uncalibrated_model
86,87.78405199001624,5.383791216418457,3.7299605567210397,407.4961561675184,0.2274546014308998,synthetic_uncalibrated_model
87,25.324668835179335,4.203647268001555,3.610880034758266,458.2574013459716,0.09757442522285203,synthetic_uncalibrated_model
88,13.164545702642783,4.295147133781055,1.7803102264642119,346.09009301986987,0.0,synthetic_uncalibrated_model
89,44.62037756636949,0.3019493301202585,3.825682689459987,495.08009996163696,0.03197893151042583,synthetic_uncalibrated_model
90,59.91109495116366,1.8269027274970324,5.9508567111721655,315.92790625424306,0.17275109386197263,synthetic_uncalibrated_model
91,38.33473672382118,4.299689992926107,0.7874100350695222,458.82136940651174,0.07487386900400611,synthetic_uncalibrated_model
92,28.401279489878444,0.5826903411549236,3.2462404932451867,397.6661333771972,0.04479236219241403,synthetic_uncalibrated_model
93,67.6010848824437,5.551573438505077,1.2017016824397249,376.6180389790138,0.14266125974270405,synthetic_uncalibrated_model
94,54.536237589261006,2.333475675337043,1.0270845734974643,297.4705735215066,0.10689180502557016,synthetic_uncalibrated_model
95,89.49047743883142,1.6687199155463022,1.9685537649379727,426.3365572988019,0.14315525769515247,synthetic_uncalibrated_model
96,51.93310777459817,3.9762155453820673,1.6920813512225534,296.2770354430662,0.1342330247640906,synthetic_uncalibrated_model
97,52.70628157249428,1.6457963504132753,0.9950296054893681,460.67704522235505,0.0815123646047205,synthetic_uncalibrated_model
98,10.300292497559234,2.1516240311147166,1.1169256382210102,310.9130981563464,0.0,synthetic_uncalibrated_model
99,34.26387720740925,4.256654634216423,2.2167711343548313,414.1998757060657,0.11674616944696381,synthetic_uncalibrated_model
100,36.18391996380063,3.575874314652456,4.8177222571266975,435.70206800526876,0.11652786414707311,synthetic_uncalibrated_model
101,46.08892872414155,0.4228302538712364,5.792169174857569,315.8339557501159,0.05959889697716253,synthetic_uncalibrated_model
102,20.41649275873802,4.775636055197803,2.4743096826310964,382.06957336342214,0.08069317432070927,synthetic_uncalibrated_model
103,50.73542786577303,2.7001239020865504,3.588678931379662,307.1647992742263,0.13936120585163936,synthetic_uncalibrated_model
104,45.069053501125694,0.9905070969604287,0.7551100085594346,382.4315575170975,0.05932624679152665,synthetic_uncalibrated_model
105,61.39018972940848,0.660275058595723,5.082438467768223,312.8146082173479,0.11974692936803027,synthetic_uncalibrated_model
106,37.983031337866194,1.517668763993147,4.863157357997632,410.95535401722583,0.08815202731124455,synthetic_uncalibrated_model
107,84.97683966921069,4.1536558381991,3.132208497793453,321.5845058965325,0.20496274971886919,synthetic_uncalibrated_model
108,37.37931145834029,4.7744277140405105,5.37047439143864,416.25381053116257,0.12708268119281063,synthetic_uncalibrated_model
109,62.29355016778785,5.067315250770962,2.284058444834683,360.04916928569173,0.1590426613000634,synthetic_uncalibrated_model
110,47.669104945439514,4.346163145347802,3.5358070643451134,338.212287810549,0.14575184953184428,synthetic_uncalibrated_model
111,80.61449841458447,1.2657254790737404,0.6603556620530024,429.92809091960083,0.0843807774171138,synthetic_uncalibrated_model
