dose_s,cycle10_epc_nm
0.0,0.0
0.1,0.009375265141152847
0.25,0.02224036795296458
0.5,0.04084358565080326
1.0,0.06942054810210108
2.0,0.10340438801442509
4.0,0.12818475900695292
8.0,0.13554639064870289
16.0,0.1359934481263485
32.0,0.13599492746914188
