step,energy_eV,relative_to_start_eV
0,-167.119400213462,0.0
1,-167.1204230228475,-0.001022809385489154
2,-167.1224208870259,-0.0030206735638955706
3,-167.12530044749712,-0.0059002340351241855
4,-167.12892704840021,-0.009526834938213824
5,-167.13313117037475,-0.01373095691275239
6,-167.13771691991147,-0.018316706449468256
7,-167.14247246279257,-0.02307224933056773
8,-167.1476678849034,-0.02826767144139808
9,-167.15300668740403,-0.033606473942029425
10,-167.15804607136403,-0.03864585790202568
11,-167.16224729074233,-0.042847077280327994
12,-167.1651710324152,-0.04577081895320134
13,-167.16684131146755,-0.04744109800554952
14,-167.1679448398129,-0.048544626350889075
15,-167.1695928256534,-0.05019261219140958
16,-167.1728373337242,-0.0534371202622026
17,-167.17808678001373,-0.05868656655172799
18,-167.18459398919492,-0.06519377573292218
19,-167.19046731869463,-0.07106710523262905
20,-167.1938297835235,-0.07442957006151119
21,-167.19473219266314,-0.07533197920113821
22,-167.19500953125757,-0.07560931779556768
23,-167.1955059729447,-0.07610575948268661
24,-167.19611742673052,-0.07671721326852321
25,-167.19671639076677,-0.07731617730476614
26,-167.1971803444898,-0.07778013102779369
