image,height_A,energy_eV,interaction_energy_eV
0,6.5,-183.06452351256468,-1.9539925233402755e-14
1,5.0,-183.06452351256468,-1.9539925233402755e-14
2,4.0,-183.34844877270197,-0.28392526013731434
3,3.25,-183.83204045671337,-0.7675169441487153
4,2.75,-184.1031941063437,-1.0386705937790364
5,2.25,-184.24983712502794,-1.1853136124632808
6,1.9,-184.22704904213188,-1.1625255295672243
7,1.6,-184.46256013342227,-1.3980366208576154
8,1.3,-182.44415770518722,0.6203658073774339
