step,energy_eV,relative_to_start_eV
0,-273.1230117133494,0.0
1,-273.13477893814274,-0.011767224793345576
2,-273.15640012574863,-0.0333884123992334
3,-273.18453439550905,-0.06152268215964796
4,-273.2152660537218,-0.09225434037239211
5,-273.24510597356084,-0.12209426021144054
6,-273.27186306742857,-0.14885135407917005
7,-273.295049719771,-0.1720380064215874
8,-273.3175208733221,-0.19450915997271068
9,-273.3400852010947,-0.2170734877453242
10,-273.363229213255,-0.24021749990561148
11,-273.3863853041958,-0.2633735908464132
12,-273.40872558171367,-0.2857138683642688
13,-273.43049556465473,-0.30748385130533507
14,-273.4516214464581,-0.3286097331086921
15,-273.46955302976363,-0.3465413164142319
16,-273.48526539335353,-0.3622536800041303
17,-273.5106657084795,-0.38765399513010834
18,-273.5565524729794,-0.4335407596299774
19,-273.61641266439676,-0.4934009510473629
20,-273.6759545509038,-0.552942837554383
21,-273.72220227525474,-0.5991905619053455
22,-273.75342799816434,-0.6304162848149417
23,-273.7730718077857,-0.6500600944362986
24,-273.7862680462178,-0.6632563328684
25,-273.8083885593105,-0.685376845961116
26,-273.83656706549874,-0.7135553521493421
27,-273.86322569533775,-0.7402139819883473
28,-273.8993428892747,-0.7763311759252929
29,-273.9449612555446,-0.8219495421952274
30,-273.9959370928027,-0.8729253794533065
31,-274.0459783177575,-0.9229666044080886
32,-274.0848185696438,-0.9618068562944018
33,-274.1159726585897,-0.992960945240327
34,-274.1438758682899,-1.0208641549405115
35,-274.1665860161103,-1.0435743027608737
36,-274.18203013970304,-1.0590184263536457
37,-274.1878218644015,-1.064810151052086
38,-274.19454313679273,-1.0715314234433322
39,-274.1996542518958,-1.0766425385464231
40,-274.2017574858885,-1.0787457725390937
41,-274.20349243902734,-1.080480725677944
42,-274.20569265175203,-1.082680938402632
43,-274.2073565283237,-1.0843448149743153
44,-274.2089957761022,-1.0859840627528001
45,-274.21168866979747,-1.0886769564480687
46,-274.2156314270085,-1.0926197136590758
47,-274.2202306075175,-1.0972188941681225
48,-274.2256640665377,-1.1026523531883186
49,-274.2327011542219,-1.1096894408725007
50,-274.24269432822314,-1.1196826148737387
51,-274.2562900035716,-1.133278290222222
52,-274.27448066169484,-1.151468948345439
53,-274.3003388906402,-1.177327177290806
54,-274.33522256809624,-1.2122108547468429
55,-274.3809542723848,-1.2579425590354276
56,-274.4233446143717,-1.3003329010222728
57,-274.4560938531155,-1.333082139766077
58,-274.4754109357136,-1.3523992223642267
59,-274.48427211391004,-1.3612604005606386
60,-274.4890710159772,-1.3660593026277752
61,-274.49335957068996,-1.3703478573405619
62,-274.4999941150754,-1.3769824017260248
63,-274.507272114947,-1.3842604015976008
64,-274.5135745480113,-1.390562834661921
65,-274.51797483166,-1.3949631183106135
66,-274.52130213894907,-1.3982904255996687
67,-274.5240526567099,-1.4010409433604991
68,-274.5271181040715,-1.40410639072212
69,-274.5305203146695,-1.407508601320103
70,-274.53450445346215,-1.4114927401127488
71,-274.53981074467384,-1.4167990313244445
72,-274.5475848231312,-1.424573109781818
73,-274.5566515263064,-1.433639812956983
74,-274.56396341262536,-1.4409516992759563
75,-274.5614861426347,-1.438474429285293
76,-274.57149899933796,-1.4484872859885627
77,-274.5721011581133,-1.4490894447638993
78,-274.5728020022881,-1.4497902889386864
79,-274.5732383320349,-1.4502266186855195
80,-274.5736609180409,-1.4506492046915014
81,-274.5744409551687,-1.4514292418193122
82,-274.57547501942776,-1.4524633060783572
83,-274.5763560966196,-1.4533443832701778
84,-274.57708173356343,-1.4540700202140329
85,-274.57806925754574,-1.455057544196336
86,-274.5793418799627,-1.456330166613327
87,-274.58044415373007,-1.4574324403806713
88,-274.58194269014416,-1.4589309767947611
89,-274.58372557553247,-1.46071386218307
90,-274.58577521231257,-1.4627634989631702
91,-274.5882777631091,-1.4652660497596912
92,-274.59131613549386,-1.4683044221444561
93,-274.5945762066692,-1.4715644933198178
94,-274.59810137402576,-1.4750896606763604
95,-274.601299665744,-1.4782879523946235
96,-274.6025487960619,-1.4795370827125112
97,-274.60210847363624,-1.4790967602868363
98,-274.6023758918816,-1.4793641785321938
99,-274.6027217935816,-1.4797100802322234
100,-274.6029159013796,-1.4799041880302184
101,-274.6028987605001,-1.4798870471507257
102,-274.6029151797835,-1.4799034664341093
103,-274.6029457307655,-1.4799340174160989
104,-274.6029863175361,-1.4799746041866797
105,-274.60303192631,-1.4800202129605964
106,-274.60307779303093,-1.480066079681535
107,-274.6031206621794,-1.4801089488299795
108,-274.6031598279967,-1.4801481146473066
109,-274.60320131320367,-1.4801895998542705
110,-274.60325056624964,-1.4802388529002428
111,-274.6033161948766,-1.4803044815271846
112,-274.60340706222604,-1.480395348876641
113,-274.60352767853414,-1.4805159651847362
114,-274.6036745682189,-1.480662854869479
115,-274.6038399007794,-1.4808281874300064
116,-274.6040269363254,-1.4810152229759979
117,-274.6042589747838,-1.4812472614344188
118,-274.60455493884416,-1.481543225494761
119,-274.6049024546744,-1.481890741325003
120,-274.605299751412,-1.4822880380626202
121,-274.60579046173615,-1.4827787483867496
122,-274.6063656545461,-1.4833539411966967
123,-274.607029068602,-1.484017355252604
124,-274.60781320829136,-1.4848014949419621
125,-274.60869780587535,-1.4856860925259525
126,-274.6096935780254,-1.4866818646759725
