image,height_A,energy_eV,interaction_energy_eV
0,6.5,-204.25090419172574,-1.0658141036401503e-14
1,5.0,-204.25090419172574,-1.0658141036401503e-14
2,4.0,-204.22969280575575,0.021211385969980512
3,3.25,-204.32427807118762,-0.07337387946189367
4,2.75,-204.39111033185463,-0.14020614012890675
5,2.25,-204.39604668287907,-0.1451424911533472
6,1.9,-204.10873533400607,0.14216885771965693
7,1.6,-203.7402287921462,0.5106753995795152
8,1.3,-203.3189758064958,0.931928385229913
