optimization_step,energy_eV,energy_relative_to_start_eV
0,-282.9416919540773,0.0
1,-282.9417206157231,-2.8661645785632572e-05
2,-282.94175772570156,-6.577162423582195e-05
3,-282.9421409626417,-0.00044900856437379844
4,-282.9428291767788,-0.0011372227014589953
5,-282.94461739215564,-0.002925438078307252
6,-282.94647087177094,-0.004778917693613494
7,-282.94844980743704,-0.006757853359715682
8,-282.9504124752028,-0.008720521125496816
9,-282.95211382630134,-0.010421872224014805
10,-282.95314192146765,-0.01144996739031967
11,-282.95324701158137,-0.011555057504040178
12,-282.9532886053335,-0.011596651256184032
13,-282.95333409395533,-0.011642139878006219
14,-282.9533881773011,-0.011696223223793822
15,-282.9534406416499,-0.011748687572548988
16,-282.9534778711125,-0.011785917035183502
