time_s,cycle,phase,events,coverage,net_removed_nm
0.0,1,modify,0,0.0,-0.0
0.175,1,modify,30,0.1171875,-0.0
0.35,1,modify,61,0.23828125,-0.0
0.5249999999999999,1,modify,76,0.296875,-0.0
0.7,1,modify,97,0.37890625,-0.0
0.875,1,modify,118,0.4609375,-0.0
1.0499999999999998,1,modify,133,0.51953125,-0.0
1.2249999999999999,1,modify,142,0.5546875,-0.0
1.4,1,modify,156,0.609375,-0.0
1.575,1,modify,165,0.64453125,-0.0
1.75,1,modify,170,0.6640625,-0.0
1.9249999999999998,1,modify,181,0.70703125,-0.0
2.0999999999999996,1,purge,185,0.72265625,-0.0
2.275,1,purge,185,0.72265625,-0.0
2.4499999999999997,1,purge,185,0.72265625,-0.0
2.625,1,remove,200,0.6640625,0.00796875
2.8,1,remove,211,0.62109375,0.013812500000000002
2.9749999999999996,1,remove,227,0.55859375,0.022312500000000002
3.15,1,remove,240,0.5078125,0.02921875
3.3249999999999997,1,remove,250,0.46875,0.03453125
3.5,1,remove,261,0.42578125,0.040375
3.675,1,remove,273,0.37890625,0.04675
3.8499999999999996,1,remove,284,0.3359375,0.05259375
4.0249999999999995,1,remove,296,0.2890625,0.05896875000000001
4.199999999999999,1,remove,306,0.25,0.06428125
4.375,1,remove,313,0.22265625,0.068
4.55,1,remove,318,0.203125,0.07065625
4.725,1,remove,322,0.1875,0.07278125
4.8999999999999995,1,remove,327,0.16796875,0.0754375
5.074999999999999,1,remove,329,0.16015625,0.07650000000000001
5.25,1,remove,331,0.15234375,0.0775625
5.425,1,remove,334,0.140625,0.07915625000000001
5.6,1,remove,338,0.125,0.08128125
5.7749999999999995,1,remove,341,0.11328125,0.082875
5.949999999999999,1,remove,347,0.08984375,0.0860625
6.125,1,remove,348,0.0859375,0.08659375000000001
6.3,1,remove,350,0.078125,0.08765625
6.475,1,remove,350,0.078125,0.08765625
6.6499999999999995,1,purge,351,0.07421875,0.0881875
6.824999999999999,1,purge,351,0.07421875,0.0881875
7.0,2,modify,351,0.07421875,0.0881875
7.175,2,modify,379,0.18359375,0.0881875
7.35,2,modify,402,0.2734375,0.0881875
7.5249999999999995,2,modify,423,0.35546875,0.0881875
7.699999999999999,2,modify,440,0.421875,0.0881875
7.874999999999999,2,modify,458,0.4921875,0.0881875
8.049999999999999,2,modify,471,0.54296875,0.0881875
8.225,2,modify,483,0.58984375,0.0881875
8.399999999999999,2,modify,491,0.62109375,0.0881875
8.575,2,modify,500,0.65625,0.0881875
8.75,2,modify,509,0.69140625,0.0881875
8.924999999999999,2,modify,519,0.73046875,0.0881875
9.1,2,purge,524,0.75,0.0881875
9.274999999999999,2,purge,524,0.75,0.0881875
9.45,2,purge,524,0.75,0.0881875
9.625,2,remove,535,0.70703125,0.09403125000000001
9.799999999999999,2,remove,552,0.640625,0.1030625
9.975,2,remove,563,0.59765625,0.10890625000000001
10.149999999999999,2,remove,575,0.55078125,0.11528125
10.325,2,remove,582,0.5234375,0.11900000000000001
10.5,2,remove,589,0.49609375,0.12271875000000002
10.674999999999999,2,remove,600,0.453125,0.1285625
