time_s,cycle,phase,events,coverage,net_removed_nm
18.9,3,remove,1169,0.03515625,0.30812500000000004
19.075,3,remove,1171,0.02734375,0.3091875
19.25,3,remove,1172,0.0234375,0.30971875000000004
19.424999999999997,3,remove,1173,0.01953125,0.31025
19.599999999999998,3,remove,1174,0.015625,0.31078125
19.775,3,remove,1175,0.01171875,0.31131250000000005
19.95,3,remove,1176,0.0078125,0.31184375000000003
20.125,3,remove,1178,0.0,0.31290625
20.299999999999997,3,remove,1178,0.0,0.31290625
20.474999999999998,3,remove,1178,0.0,0.31290625
20.65,3,purge,1178,0.0,0.31290625
20.825,3,purge,1178,0.0,0.31290625
21.0,3,purge,1178,0.0,0.31290625
