time_s,cycle,phase,events,coverage,net_removed_nm
19.424999999999997,3,remove,844,0.28125,0.2050625
19.599999999999998,3,remove,851,0.25390625,0.20878125
19.775,3,remove,857,0.23046875,0.21196875
19.95,3,remove,857,0.23046875,0.21196875
20.125,3,remove,857,0.23046875,0.21196875
20.299999999999997,3,remove,860,0.21875,0.21356250000000002
20.474999999999998,3,remove,864,0.203125,0.2156875
20.65,3,purge,864,0.203125,0.2156875
20.825,3,purge,864,0.203125,0.2156875
21.0,3,purge,864,0.203125,0.2156875
