image,height_A,energy_eV,interaction_energy_eV
0,6.5,-213.87060833022633,3.2862601528904634e-14
1,5.0,-213.87060833022633,3.2862601528904634e-14
2,4.0,-213.77155782551205,0.09905050471431753
3,3.25,-213.71141892115662,0.15918940906974388
4,2.75,-213.82182460940174,0.04878372082462068
5,2.25,-213.49687713423418,0.37373119599218274
6,1.9,-211.51806066030514,2.3525476699212264
7,1.6,-206.60094452033644,7.269663809889924
8,1.3,-189.1330577903849,24.737550539841468
