image,height_A,energy_eV,interaction_energy_eV
0,6.5,-204.25090419172574,-1.0658141036401503e-14
1,5.0,-204.25090419172574,-1.0658141036401503e-14
2,4.0,-204.2854072269363,-0.03450303521055886
3,3.25,-204.37406078298994,-0.12315659126421608
4,2.75,-204.43357679152334,-0.18267259979760908
5,2.25,-204.4703436805141,-0.21943948878837816
6,1.9,-204.4320802557238,-0.18117606399807684
7,1.6,-204.3442744028519,-0.0933702111261816
8,1.3,-204.209836655401,0.04106753632472149
