image,energy_eV,relative_to_IS_eV,Si_N_A,Si_incoming_F_A,HF_A,N_incoming_H_A
0,-20293.54988718033,0.0,1.6682818488271616,3.612102006894159,0.9285396102587405,2.9469315029030536
1,-20293.18846182525,0.36142535507678986,1.6820810863602684,13.834347619059612,0.9271988960060502,12.224052840062804
2,-20293.234280973673,0.3156062066555023,1.6772797493850253,7.84699370381845,0.9246839840526451,7.64641360200663
3,-20293.333614617586,0.21627256274223328,1.6754417813124434,5.599443458477839,0.9249201825691872,4.998368231885849
4,-20293.28981012106,0.2600770592689514,1.6935861972954294,4.264422404701773,0.9267089367501407,2.6851227450764417
5,-20291.151531279087,2.3983559012413025,3.000799209893085,1.668261587171126,1.783093226657459,1.0474866767070798
6,-20294.045473702252,-0.495586521923542,4.953634489752316,1.561497605109334,2.522193238728155,1.0108603754168897
7,-20294.09692579508,-0.5470386147499084,6.1707643869320945,1.5623366460987937,3.6842151589143075,1.0120618731693678
8,-20294.135435149074,-0.5855479687452316,7.1291779611529185,1.562786191900162,4.585073376849445,1.012422095840855
