image,height_A,energy_eV,interaction_energy_eV
0,6.5,-174.75426460397688,-1.5987211554602254e-14
1,5.0,-174.75426460397688,-1.5987211554602254e-14
2,4.0,-174.8042400702387,-0.04997546626184324
3,3.25,-174.97835035247124,-0.22408574849437635
4,2.75,-175.28101725578026,-0.5267526518033936
5,2.25,-175.57609422017265,-0.821829616195787
6,1.9,-175.31239730296872,-0.5581326989918569
7,1.6,-174.03603291738142,0.718231686595443
8,1.3,-171.24183253976273,3.5124320642141367
