step,energy_eV,relative_to_start_eV
0,-218.2338591818386,0.0
1,-218.26401969357406,-0.03016051173545975
2,-218.32244283269594,-0.08858365085734476
3,-218.40544511662384,-0.17158593478524153
4,-218.5077872915043,-0.2739281096656896
5,-218.62301877704954,-0.38915959521094123
6,-218.7439338724757,-0.5100746906371114
7,-218.86316274264806,-0.6293035608094613
8,-218.98487709712498,-0.7510179152863827
9,-219.0990453351647,-0.8651861533261069
10,-219.19644336979513,-0.9625841879565371
11,-219.27459708137158,-1.040737899532985
12,-219.33963506627995,-1.105775884441357
13,-219.39929477397027,-1.1654355921316721
14,-219.45382381116394,-1.2199646293253466
15,-219.49072087484276,-1.2568616930041685
16,-219.49200427117353,-1.2581450893349313
17,-219.49652339658095,-1.2626642147423581
18,-219.50489877905255,-1.2710395972139565
19,-219.51596723332807,-1.2821080514894732
20,-219.52836338265516,-1.2945042008165615
21,-219.54088786812397,-1.3070286862853777
22,-219.55283000314708,-1.3189708213084828
23,-219.56407400447182,-1.3302148226332235
24,-219.57597642064698,-1.3421172388083846
25,-219.58861374708107,-1.354754565242473
26,-219.6013053277527,-1.3674461459141014
27,-219.61232681405238,-1.378467632213784
28,-219.62006033442697,-1.3862011525883702
29,-219.62481169063616,-1.390952508797568
30,-219.62785993550915,-1.3940007536705536
31,-219.6293541155622,-1.3954949337235973
32,-219.62991342686007,-1.3960542450214746
33,-219.63097617697815,-1.3971169951395552
34,-219.63244003421045,-1.3985808523718504
35,-219.63417365023915,-1.400314468400552
36,-219.6360389611713,-1.4021797793326982
37,-219.63791359353544,-1.4040544116968476
38,-219.63970753637136,-1.4058483545327647
39,-219.64153315239605,-1.407673970557454
40,-219.64331464517358,-1.4094554633349787
41,-219.64495649871148,-1.4110973168728833
42,-219.64631258092987,-1.4124533990912767
43,-219.6471981349012,-1.4133389530626062
44,-219.6475479855348,-1.4136888036962034
45,-219.64759344458037,-1.4137342627417695
46,-219.64768140090013,-1.4138222190615295
47,-219.64780631933635,-1.4139471374977575
48,-219.64796082212604,-1.4141016402874413
49,-219.64813664967798,-1.4142774678393835
50,-219.6483256826924,-1.4144665008537913
51,-219.64852082745855,-1.414661645619958
52,-219.64873705852864,-1.414877876690042
53,-219.6489702549898,-1.4151110731511949
