id,system,process,barrier_ev,kind,doi,source,locator,uncertainty,prefactor_s,reuse
Asari2013_Cl_hop,Cl/Si(111)-(5x5),Cl atom hopping,1.73,published_DFT_diffusion,10.1016/j.apsusc.2012.07.015,https://www.sciencedirect.com/author/6603600410/jun-nara,2013 article abstract,not_reported_in_abstract,,reference_only_not_current_kmc_input
Asari2013_SiCl_complex,Cl/Si(111)-(5x5),SiCl complex diffusion,1.34,published_DFT_diffusion,10.1016/j.apsusc.2012.07.015,https://www.sciencedirect.com/author/6603600410/jun-nara,2013 article abstract,not_reported_in_abstract,,reference_only_not_current_kmc_input
