image,height_A,energy_eV,interaction_energy_eV
0,6.5,-283.2558215924791,7.105427357601002e-15
1,5.0,-283.2558215924791,7.105427357601002e-15
2,4.0,-283.27113587650496,-0.01531428402585533
3,3.25,-283.3311257006151,-0.07530410813597399
4,2.75,-283.3772244578015,-0.12140286532240196
5,2.25,-283.3718495696902,-0.11602797721109681
6,1.9,-283.25317872540046,0.0026428670786415864
7,1.6,-282.95343535753835,0.302386234940748
8,1.3,-282.31291233165945,0.9429092608196541
