image,height_A,energy_eV,interaction_energy_eV
0,6.5,-194.37464166994567,-1.0658141036401503e-14
1,5.0,-194.37464166994567,-1.0658141036401503e-14
2,4.0,-194.3835002531639,-0.00885858321823818
3,3.25,-194.46701630859462,-0.092374638648959
4,2.75,-194.544613700735,-0.1699720307893351
5,2.25,-194.6095007271058,-0.23485905716013278
6,1.9,-194.43511922091886,-0.06047755097320007
7,1.6,-193.77518136937857,0.5994603005670918
8,1.3,-192.4196507476101,1.954990922335572
