assumed_prefactor_s,assumed_desorption_s,assumed_arrival_s,temperature_K,final_Si_released_fraction
100000000000.0,10.0,5.0,400.0,0.37749902639775945
100000000000.0,100.0,5.0,400.0,0.15241162534057748
100000000000.0,1000.0,5.0,400.0,0.010198661838244276
1000000000000.0,10.0,5.0,400.0,0.43679251814468434
1000000000000.0,100.0,5.0,400.0,0.3884132384704865
1000000000000.0,1000.0,5.0,400.0,0.1585906662502654
10000000000000.0,10.0,5.0,400.0,0.49461652011040236
10000000000000.0,100.0,5.0,400.0,0.44713387322343384
10000000000000.0,1000.0,5.0,400.0,0.3894642497211621
