temperature_K,time_s,species,phase,mean_count,fraction_per_initial_motif
325.0,0.05,pre_SiH2F_residual,surface,0.0390625,3.90625e-05
325.0,0.05,pre_SiHF2,surface,95.4296875,0.0954296875
325.0,0.05,pre_SiHF2_HF,surface,4.5703125,0.0045703125
325.0,0.05,pre_SiHF2_residual,surface,0.0,0.0
325.0,0.05,Si_Si_F1,surface,95.046875,0.095046875
325.0,0.05,Si_Si_F1_HF,surface,4.8359375,0.0048359375
325.0,0.05,Si_Si_cleaved_F2_H,surface,0.1171875,0.0001171875
325.0,0.05,HF,reservoir_net,-133.7734375,-0.1337734375
325.0,0.05,H2,gas_product,0.0,0.0
325.0,0.05,NH3,gas_product,34.109375,0.034109375
325.0,0.05,SiF4,gas_product,0.0,0.0
325.0,0.05,SiH2F2,gas_product,0.0390625,3.90625e-05
325.0,0.05,SiHF3,gas_product,0.0,0.0
325.0,0.1,bridge_NH_F0,surface,180.4140625,0.1804140625
325.0,0.1,bridge_NH_F1,surface,113.96875,0.11396875
325.0,0.1,bridge_NH_F2,surface,0.0625,6.25e-05
325.0,0.1,bridge_NH_F3,surface,0.0,0.0
325.0,0.1,bridge_NH_residual,surface,0.0,0.0
325.0,0.1,bridge_NH_F0_HF,surface,0.0,0.0
325.0,0.1,bridge_NH_F1_HF,surface,5.546875,0.005546875
325.0,0.1,bridge_NH_F2_HF,surface,0.0078125,7.8125e-06
325.0,0.1,bridge_NH_F3_HF,surface,0.0,0.0
325.0,0.1,terminal_NH2_F0,surface,90.4765625,0.0904765625
325.0,0.1,terminal_NH2_F1,surface,54.40625,0.05440625
325.0,0.1,terminal_NH2_F2,surface,2.9921875,0.0029921875
325.0,0.1,terminal_NH2_F3,surface,0.0,0.0
325.0,0.1,terminal_NH2_residual,surface,0.0,0.0
325.0,0.1,terminal_NH2_F0_HF,surface,0.0,0.0
325.0,0.1,terminal_NH2_F1_HF,surface,2.03125,0.00203125
325.0,0.1,terminal_NH2_F2_HF,surface,0.09375,9.375e-05
325.0,0.1,terminal_NH2_F3_HF,surface,0.0,0.0
325.0,0.1,Si_H_rich_F0,surface,95.484375,0.095484375
325.0,0.1,Si_H_rich_F1,surface,0.0,0.0
325.0,0.1,Si_H_rich_F2,surface,0.0,0.0
325.0,0.1,Si_H_rich_F3,surface,0.0,0.0
325.0,0.1,Si_H_rich_residual,surface,0.0,0.0
325.0,0.1,Si_H_rich_F0_HF,surface,4.515625,0.004515625
325.0,0.1,Si_H_rich_F1_HF,surface,0.0,0.0
325.0,0.1,Si_H_rich_F2_HF,surface,0.0,0.0
325.0,0.1,Si_H_rich_F3_HF,surface,0.0,0.0
325.0,0.1,bridge_N_F0,surface,138.78125,0.13878125
325.0,0.1,bridge_N_F1,surface,4.25,0.00425
325.0,0.1,bridge_N_F2,surface,0.015625,1.5625e-05
325.0,0.1,bridge_N_F3,surface,0.0,0.0
325.0,0.1,bridge_N_residual,surface,0.0,0.0
325.0,0.1,bridge_N_F0_HF,surface,6.8203125,0.0068203125
325.0,0.1,bridge_N_F1_HF,surface,0.125,0.000125
325.0,0.1,bridge_N_F2_HF,surface,0.0078125,7.8125e-06
325.0,0.1,bridge_N_F3_HF,surface,0.0,0.0
325.0,0.1,pre_SiH2F,surface,95.3125,0.0953125
325.0,0.1,pre_SiH2F_HF,surface,4.609375,0.004609375
